Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,1455.000000,1455.000000,1417.050049,1421.500000,1405.613281,1493226
2019-06-06,1434.949951,1461.849976,1424.900024,1428.550049,1412.584473,1985857
2019-06-07,1429.000000,1439.849976,1413.050049,1418.349976,1402.498413,878470
2019-06-10,1429.000000,1442.000000,1418.500000,1422.599976,1406.700928,800967
2019-06-11,1428.000000,1433.349976,1409.500000,1425.500000,1409.568604,743047
2019-06-12,1429.949951,1439.900024,1421.000000,1425.449951,1409.519165,874293
2019-06-13,1429.000000,1438.900024,1422.199951,1429.449951,1421.101074,1572720
2019-06-14,1430.000000,1431.750000,1411.000000,1412.750000,1404.498657,546091
2019-06-17,1417.000000,1425.000000,1398.900024,1401.949951,1393.761597,962166
2019-06-18,1405.000000,1410.400024,1376.050049,1380.050049,1371.989624,1177437
2019-06-19,1382.000000,1396.400024,1372.000000,1381.150024,1373.083252,692212
2019-06-20,1365.550049,1404.900024,1360.699951,1392.050049,1383.919556,991210
2019-06-21,1379.949951,1394.650024,1372.000000,1383.000000,1374.922363,1242165
2019-06-24,1386.000000,1398.000000,1368.250000,1376.150024,1368.112427,757055
2019-06-25,1371.000000,1372.449951,1360.349976,1363.099976,1355.138672,1388994
2019-06-26,1360.000000,1369.550049,1352.000000,1359.949951,1352.006958,960174
2019-06-27,1361.099976,1369.650024,1358.150024,1361.400024,1353.448486,2113899
2019-06-28,1365.000000,1371.900024,1350.099976,1358.150024,1350.217529,1131371
2019-07-01,1368.000000,1374.500000,1351.050049,1353.849976,1345.942627,739182
2019-07-02,1356.000000,1360.000000,1340.699951,1345.750000,1337.889893,1171118
2019-07-03,1356.050049,1371.000000,1349.500000,1352.000000,1344.103394,1378288
2019-07-04,1356.000000,1366.349976,1351.150024,1359.699951,1351.758423,902077
2019-07-05,1363.900024,1373.449951,1351.449951,1358.699951,1350.764282,966162
2019-07-08,1358.000000,1358.400024,1332.699951,1340.250000,1332.422119,866416
2019-07-09,1344.900024,1344.900024,1291.250000,1321.000000,1313.284546,2037332
2019-07-10,1317.800049,1340.349976,1312.050049,1322.949951,1315.223145,1115080
2019-07-11,1317.000000,1337.000000,1311.050049,1332.449951,1324.667480,757323
2019-07-12,1332.449951,1369.550049,1325.449951,1361.949951,1353.995239,1050985
2019-07-15,1362.849976,1367.000000,1347.050049,1353.150024,1345.246826,666533
2019-07-16,1352.000000,1375.000000,1345.000000,1372.300049,1364.284912,782642
2019-07-17,1377.000000,1404.849976,1375.500000,1395.900024,1387.746948,1599926
2019-07-18,1395.000000,1395.349976,1377.199951,1384.949951,1376.860840,802222
2019-07-19,1390.099976,1399.400024,1365.000000,1369.099976,1361.103516,842552
2019-07-22,1367.800049,1410.000000,1359.050049,1404.199951,1395.998413,1279369
2019-07-23,1409.000000,1443.949951,1401.849976,1429.349976,1421.001709,2262423
2019-07-24,1430.500000,1493.500000,1395.150024,1483.400024,1474.735962,7400250
2019-07-25,1481.300049,1503.849976,1459.050049,1495.849976,1487.113281,4194809
2019-07-26,1488.099976,1530.800049,1485.599976,1526.449951,1517.534546,2420636
2019-07-29,1524.900024,1538.250000,1506.599976,1513.250000,1504.411621,1634196
2019-07-30,1511.099976,1527.000000,1502.699951,1508.750000,1499.937866,1436383
2019-07-31,1507.000000,1525.000000,1495.150024,1521.099976,1512.215698,1249734
2019-08-01,1515.000000,1531.449951,1493.650024,1504.699951,1495.911499,2263295
2019-08-02,1509.000000,1550.000000,1504.500000,1545.199951,1536.174927,3044783
2019-08-05,1533.199951,1551.000000,1521.699951,1525.400024,1516.490601,1443728
2019-08-06,1530.000000,1569.849976,1524.050049,1565.849976,1556.704346,2056715
2019-08-07,1563.300049,1575.000000,1551.900024,1559.199951,1550.093140,1583322
2019-08-08,1565.750000,1569.699951,1540.300049,1565.900024,1556.754150,1579565
2019-08-09,1569.199951,1581.900024,1561.000000,1575.500000,1566.298096,1154542
2019-08-13,1573.500000,1594.000000,1568.000000,1573.349976,1564.160522,1612748
2019-08-14,1574.500000,1575.500000,1552.500000,1569.699951,1560.531860,1113095
2019-08-16,1571.000000,1600.849976,1561.000000,1597.449951,1588.119751,1682359
2019-08-19,1599.000000,1609.550049,1582.199951,1586.449951,1577.184082,1322246
2019-08-20,1585.000000,1599.500000,1582.699951,1595.150024,1585.833374,1024331
2019-08-21,1585.250000,1595.000000,1578.550049,1589.150024,1579.868286,704009
2019-08-22,1585.199951,1593.900024,1566.300049,1570.199951,1561.028931,985590
2019-08-23,1569.900024,1583.349976,1555.650024,1580.400024,1571.169434,984637
2019-08-26,1590.000000,1600.000000,1577.150024,1597.550049,1588.219238,1153556
2019-08-27,1600.000000,1607.449951,1585.500000,1599.449951,1590.108154,1581449
2019-08-28,1599.199951,1606.750000,1590.599976,1603.150024,1593.786621,565676
2019-08-29,1602.849976,1619.900024,1589.000000,1615.250000,1605.815918,861692
2019-08-30,1616.000000,1622.500000,1595.099976,1616.199951,1606.760254,1181516
2019-09-03,1608.000000,1609.599976,1573.550049,1576.750000,1567.540771,1289263
2019-09-04,1579.000000,1582.599976,1527.800049,1535.150024,1526.183838,2381389
2019-09-05,1537.000000,1545.900024,1515.250000,1519.750000,1510.873657,1506173
2019-09-06,1524.000000,1539.449951,1519.750000,1532.400024,1523.449829,801338
2019-09-09,1530.550049,1545.000000,1524.199951,1540.599976,1531.601807,812836
2019-09-11,1545.000000,1565.000000,1542.650024,1561.449951,1552.329956,1541300
2019-09-12,1570.000000,1570.000000,1537.150024,1540.300049,1531.303711,753116
2019-09-13,1540.000000,1553.150024,1528.000000,1548.199951,1539.157471,547381
2019-09-16,1510.000000,1526.949951,1502.099976,1521.300049,1512.414673,1811073
2019-09-17,1527.400024,1543.300049,1518.599976,1530.900024,1521.958618,1353034
2019-09-18,1542.150024,1560.949951,1535.000000,1547.750000,1538.710205,1057300
2019-09-19,1553.900024,1563.500000,1545.000000,1553.900024,1544.824219,879908
2019-09-20,1559.000000,1725.250000,1542.099976,1671.000000,1661.240234,3962166
2019-09-23,1697.849976,1820.000000,1697.849976,1802.750000,1792.220703,4253004
2019-09-24,1802.800049,1802.949951,1752.000000,1765.900024,1755.585938,2028042
2019-09-25,1784.000000,1784.000000,1728.250000,1751.800049,1741.568359,1794074
2019-09-26,1761.800049,1780.000000,1751.900024,1770.949951,1760.606445,1674004
2019-09-27,1770.000000,1781.400024,1735.349976,1776.300049,1765.925293,1115289
2019-09-30,1768.000000,1770.000000,1737.050049,1762.150024,1751.857910,1041807
2019-10-01,1768.949951,1799.900024,1757.000000,1766.099976,1755.784790,1317945
2019-10-03,1765.000000,1768.250000,1732.199951,1748.949951,1738.734863,1010826
2019-10-04,1753.900024,1761.699951,1717.099976,1724.400024,1714.328369,1231811
2019-10-07,1724.949951,1742.949951,1717.849976,1725.150024,1715.073975,562559
2019-10-09,1725.699951,1778.000000,1725.699951,1773.449951,1763.091797,1777552
2019-10-10,1765.000000,1793.000000,1756.500000,1778.599976,1768.211792,1599166
2019-10-11,1787.599976,1801.800049,1764.050049,1790.250000,1779.793701,1442236
2019-10-14,1790.000000,1806.300049,1784.699951,1798.699951,1788.194336,881724
2019-10-15,1807.699951,1825.000000,1796.000000,1803.099976,1792.568726,1204392
2019-10-16,1808.500000,1814.000000,1756.550049,1765.699951,1755.387085,1403020
2019-10-17,1772.000000,1816.650024,1756.000000,1812.300049,1801.714966,1722055
2019-10-18,1815.000000,1824.449951,1786.699951,1816.750000,1806.139038,1682488
2019-10-22,1822.699951,1825.000000,1775.000000,1780.199951,1769.802490,2135313
2019-10-23,1762.400024,1800.000000,1762.000000,1767.400024,1757.077148,3369253
2019-10-24,1778.000000,1794.949951,1753.050049,1790.500000,1780.042236,1497854
2019-10-25,1797.000000,1808.400024,1785.050049,1796.300049,1785.808472,1202154
2019-10-27,null,null,null,null,null,null
2019-10-29,1792.099976,1820.000000,1772.550049,1814.250000,1803.653687,1050123
2019-10-30,1830.000000,1830.000000,1804.000000,1821.300049,1814.011963,1133258
2019-10-31,1826.300049,1834.800049,1803.500000,1809.599976,1802.358765,1297114
2019-11-01,1816.000000,1821.000000,1762.000000,1766.349976,1759.281860,1527660
2019-11-04,1775.000000,1790.000000,1766.199951,1785.900024,1778.753662,821893
2019-11-05,1780.000000,1797.800049,1767.599976,1793.849976,1786.671753,1251974
2019-11-06,1789.000000,1815.000000,1780.599976,1797.599976,1790.406738,1136777
2019-11-07,1810.000000,1830.900024,1798.199951,1826.949951,1819.639282,1380635
2019-11-08,1826.000000,1826.800049,1790.800049,1794.849976,1787.667725,1077136
2019-11-11,1789.949951,1793.949951,1768.000000,1773.949951,1766.851440,860384
2019-11-13,1773.750000,1787.000000,1756.699951,1770.449951,1763.365356,983760
2019-11-14,1778.000000,1800.000000,1766.449951,1771.849976,1764.759766,1116800
2019-11-15,1780.849976,1784.000000,1756.300049,1760.699951,1753.654419,729613
2019-11-18,1760.699951,1765.449951,1734.500000,1739.000000,1732.041260,1273055
2019-11-19,1747.949951,1748.000000,1718.500000,1721.349976,1714.461914,1187377
2019-11-20,1729.900024,1748.849976,1715.449951,1723.500000,1716.603271,1374382
2019-11-21,1727.900024,1734.849976,1711.000000,1720.349976,1713.465942,913095
2019-11-22,1710.000000,1713.949951,1676.000000,1682.750000,1676.016357,1275334
2019-11-25,1684.000000,1718.000000,1666.150024,1710.699951,1703.854492,1320689
2019-11-26,1718.000000,1728.849976,1687.599976,1710.300049,1703.456177,2714721
2019-11-27,1714.000000,1731.000000,1704.599976,1715.349976,1708.485962,883771
2019-11-28,1718.250000,1727.550049,1701.750000,1714.599976,1707.738892,691147
2019-11-29,1715.000000,1720.400024,1677.349976,1706.150024,1699.322754,1890290
2019-12-02,1706.199951,1742.500000,1698.349976,1738.250000,1731.294312,1476972
2019-12-03,1740.000000,1750.949951,1725.000000,1736.449951,1729.501465,1374317
2019-12-04,1731.199951,1734.400024,1710.250000,1720.300049,1713.416138,853421
2019-12-05,1717.400024,1738.150024,1707.000000,1715.849976,1708.983887,971984
2019-12-06,1722.900024,1747.599976,1712.849976,1716.650024,1709.780762,1031777
2019-12-09,1725.000000,1732.900024,1711.000000,1726.349976,1719.441895,751290
2019-12-10,1726.000000,1732.000000,1709.000000,1713.150024,1706.294800,686580
2019-12-11,1718.000000,1741.599976,1713.250000,1738.199951,1731.244385,827804
2019-12-12,1740.349976,1754.000000,1728.099976,1750.650024,1743.644653,802332
2019-12-13,1751.000000,1757.699951,1735.550049,1743.949951,1736.971436,960033
2019-12-16,1744.000000,1752.000000,1728.050049,1731.449951,1724.521484,707437
2019-12-17,1735.199951,1748.949951,1730.250000,1745.400024,1738.415649,873024
2019-12-18,1749.250000,1782.000000,1733.650024,1778.449951,1771.333374,1476506
2019-12-19,1778.800049,1807.800049,1775.599976,1803.099976,1795.884766,2554245
2019-12-20,1804.949951,1809.000000,1795.000000,1799.250000,1792.050171,1419128
2019-12-23,1795.800049,1814.599976,1786.199951,1807.550049,1800.317017,659899
2019-12-24,1812.000000,1826.000000,1799.050049,1803.449951,1796.233398,896574
2019-12-26,1799.400024,1819.699951,1797.050049,1809.599976,1802.358765,1161570
2019-12-27,1811.000000,1826.000000,1800.599976,1812.250000,1804.998169,930468
2019-12-30,1810.000000,1818.449951,1798.699951,1802.300049,1795.088013,562492
2019-12-31,1805.000000,1805.000000,1781.099976,1784.949951,1777.807373,928396
2020-01-01,1790.199951,1802.550049,1783.199951,1793.199951,1786.024414,397285
2020-01-02,1791.000000,1799.900024,1783.400024,1790.650024,1783.484619,411266
2020-01-03,1779.800049,1779.800049,1747.050049,1751.400024,1744.391724,1318628
2020-01-06,1737.949951,1738.000000,1694.000000,1707.150024,1700.318726,1871804
2020-01-07,1711.000000,1740.500000,1711.000000,1724.400024,1717.499756,1033650
2020-01-08,1696.000000,1736.000000,1695.000000,1728.800049,1721.882202,1006057
2020-01-09,1763.000000,1775.000000,1741.000000,1772.550049,1765.457031,1781733
2020-01-10,1772.000000,1797.300049,1760.000000,1792.550049,1785.377075,1256612
2020-01-13,1799.000000,1807.949951,1794.349976,1804.900024,1797.677612,823821
2020-01-14,1805.000000,1821.650024,1804.800049,1819.150024,1811.870605,775629
2020-01-15,1817.500000,1845.000000,1810.099976,1842.250000,1834.878174,1252925
2020-01-16,1835.949951,1848.000000,1828.750000,1835.150024,1827.806519,1031569
2020-01-17,1835.599976,1838.900024,1815.000000,1830.050049,1822.727051,862204
